tmdbId,title,director,releaseYear,language,posterPath
28,Apocalypse Now,Francis Ford Coppola,1979,en,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg
99,All About My Mother,Pedro Almodóvar,1999,es,/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg
144,Wings of Desire,Wim Wenders,1987,de,/iZQs2vUeCzvS1KfZJ6uYNCGJBBV.jpg
146,"Crouching Tiger, Hidden Dragon",Ang Lee,2000,zh,/iNDVBFNz4XyYzM9Lwip6atSTFqf.jpg
194,Amélie,Jean-Pierre Jeunet,2001,fr,/nSxDa3M9aMvGVLoItzWTepQ5h5d.jpg
239,Some Like It Hot,Billy Wilder,1959,en,/uRomZf1LmLtX4ZiL3B7lZEFNMAn.jpg
260,The 39 Steps,Alfred Hitchcock,1935,en,/oC81jK6aAug4MA0xzYVngHmjsZS.jpg
294,Desert Hearts,Donna Deitch,1985,en,/klAHoWOZgL8sR74Tnl7K7z4Lziq.jpg
345,Eyes Wide Shut,Stanley Kubrick,1999,en,/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg
405,La Strada,Federico Fellini,1954,it,/rwjbT0zlsUDMztaCcWjlWuxaEL1.jpg
426,Vertigo,Alfred Hitchcock,1958,en,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg
445,Caché,Michael Haneke,2005,fr,/8ZD7gltGg5c4EvNrOMFy9hwYKxR.jpg
455,Bend It Like Beckham,Gurinder Chadha,2002,en,/2dzSBmFWWqt8NbnubJKIWU21Y86.jpg
468,My Own Private Idaho,Gus Van Sant,1991,en,/p9TF90Pb5yg2MNb2UztzyXktMm4.jpg
480,Monsoon Wedding,Mira Nair,2001,hi,/vCwkv7tYFem0tQ9Duoq2MX7T7Zd.jpg
483,Wild at Heart,David Lynch,1990,en,/uLUFI5sJIfWrBUWB2Y1dEuyvvVy.jpg
521,Dial M for Murder,Alfred Hitchcock,1954,en,/4KKiFDvtEusJzqzlwHp7iMceXKS.jpg
567,Rear Window,Alfred Hitchcock,1954,en,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg
592,The Conversation,Francis Ford Coppola,1974,en,/dHqVBwcv1SGymOpUueRoKzcmdes.jpg
599,Sunset Boulevard,Billy Wilder,1950,en,/zt8aQ6ksqK6p1AopC5zVTDS9pKT.jpg
638,Lost Highway,David Lynch,1997,en,/fdTtij6H0sX9AzIjUeynh5zbfm7.jpg
649,Belle de Jour,Luis Buñuel,1967,fr,/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg
651,M*A*S*H,Robert Altman,1970,en,/on8Q9LhtHYNhmITjUMpgOUkIG8o.jpg
655,"Paris, Texas",Wim Wenders,1984,en,/sP27Qm4THyRZyHjHYMfIDtJP6YE.jpg
778,Monsieur Hulot's Holiday,Jacques Tati,1953,fr,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg
779,Vampyr,Carl Theodor Dreyer,1932,de,/m7BKgeW06cgW5512wukfGhLsWGL.jpg
793,Blue Velvet,David Lynch,1986,en,/tzXuURjPzCqtA6eL0Cswq9wzFx0.jpg
797,Persona,Ingmar Bergman,1966,sv,/v2KsLNChpT6vLf0YFhkJmAtGkNq.jpg
816,Austin Powers: International Man of Mystery,Jay Roach,1997,en,/5uD4dxNX8JKFjWKYMHyOsqhi5pN.jpg
832,M,Fritz Lang,1931,de,/bTdZk3q2DWpBRnLiaaItKFWOVhI.jpg
872,Singin' in the Rain,"Stanley Donen,Gene Kelly",1952,en,/w03EiJVHP8Un77boQeE7hg9DVdU.jpg
992,Sherlock Jr.,Buster Keaton,1924,en,/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg
1051,The French Connection,William Friedkin,1971,en,/5XSGvIKl2yPvOkieFjc3rzLw7x0.jpg
1089,Point Break,Kathryn Bigelow,1991,en,/tlbERIghrQ4oofqlbF7H0K0EYnx.jpg
1398,Stalker,Andrei Tarkovsky,1979,ru,/1qhOyf5C4s9ZdvY8d5JDx9DFMeT.jpg
1480,Touch of Evil,Orson Welles,1958,en,/viru7KcgTURKPZhQ5GhGsDwQrlg.jpg
1678,Godzilla,Ishirō Honda,1954,ja,/2W0Yw0qrgVMgdsSCZRKtfvaAh0i.jpg
1808,Velvet Goldmine,Todd Haynes,1998,en,/bsuSac0PldPFcOtR1Vioe7VBF4l.jpg
1811,Nowhere,Gregg Araki,1997,en,/c1TZKfzvATep5x5DthqWjjWtU2l.jpg
1923,Twin Peaks: Fire Walk with Me,David Lynch,1992,en,/mxsGXqetGnirf99qapYd5MMY1VL.jpg
1939,Laura,Otto Preminger,1944,en,/j0zEiFFrdbZnMXqD3piOtZBJeNB.jpg
2039,Moonstruck,Norman Jewison,1987,en,/2mnVWpvsHEHHnfvLn1NXYVvBGl5.jpg
2059,National Treasure,Jon Turteltaub,2004,en,/pxL6E4GBOPUG6CdkO9cUQN5VMwI.jpg
2469,Tie Me Up! Tie Me Down!,Pedro Almodóvar,1990,es,/4eNyqA543ixNCME8pcADgP9wb1i.jpg
2493,The Princess Bride,Rob Reiner,1987,en,/2FC9L9MrjBoGHYjYZjdWQdopVYb.jpg
2501,The Bourne Identity,Doug Liman,2002,en,/aP8swke3gmowbkfZ6lmNidu0y9p.jpg
2574,The Lovers,Louis Malle,1958,fr,/5WxZp3XpCnK1EQ6D8XASbpCkrzO.jpg
2758,Addams Family Values,Barry Sonnenfeld,1993,en,/sdxT2VjVSx9DRicwnuECUdBHeE7.jpg
2907,The Addams Family,Barry Sonnenfeld,1991,en,/qFf8anju5f2epI0my8RdwwIXFIP.jpg
3078,It Happened One Night,Frank Capra,1934,en,/wx4ptyx3vlPBVl5DzBA8KomcJww.jpg
3133,Badlands,Terrence Malick,1974,en,/z81rBzHNgiNLean2JTGHgxjJ8nq.jpg
4203,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,1988,es,/8C5FJlUo96pj1xAs2BKnB58PYzi.jpg
4269,A Room in Town,Jacques Demy,1982,fr,/eDO1onM1IxTouTFSXM747Wd7Psj.jpg
4499,"Pepi, Luci, Bom",Pedro Almodóvar,1980,es,/xL72JwMDJLGZBUtXgjx7eERJ8nj.jpg
4558,Orpheus,Jean Cocteau,1950,fr,/wcUmMtipWBBx7lpsfpPsUM4Snh1.jpg
4710,Masculin Féminin,Jean-Luc Godard,1966,fr,/AroNQnZiqjJOWf32lLNZUzWlGvd.jpg
4977,Paprika,Satoshi Kon,2006,ja,/bLUUr474Go1DfeN1HLjE3rnZXBq.jpg
5165,L'Avventura,Michelangelo Antonioni,1960,it,/waQPqPYLouGJXDYGqXmpyLN4PLA.jpg
5279,Gosford Park,Robert Altman,2001,en,/mQlmUTLxFG5irSVHlvIxRHCCjKf.jpg
5511,Le Samouraï,Jean-Pierre Melville,1967,fr,/5Fa6o5nfUPEatQ9b3OwEvdEdR7T.jpg
